rowID,host_Arctos_record,ID_number,ID_type,other_identifier,other_identifier_type,pers_cat_no,sci_name,common_name,state,county,specific_locality,analysis_locality,verbatim_latitude,verbatim_longitude,analysis_lat,analysis_lon,verbatim_elev,coll_date,coll_day,coll_month,coll_year,collecting_event_ID,tissue_type,PCR_pos_01,Haem_01,Plas_01,H_haplo1,H_haplo2,H_haplo3,P_haplo1,H_count,P_count,haplotype_count,coinfection_01,novel_01,novel_count,novel_haplo_name,micro_pos_01,micro_num_infected_HP,micro_num_infected_total,micro_num_screened,micro_HP_parasitemia_percent,micro_total_parasitemia_percent,rgbif_elev,analysis_elev,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,tempPC1,tempPC2,precipPC1,precipPC2
1,NA,272132511,band number,GRVI 11,GRVI ID ,NA,Vireo vicinior,Gray Vireo,Utah,San Juan,Abajo Mountains,Abajo Mountains,38.20031,-109.67057,38.20031,-109.67057,NA,6/1/2018,1,6,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,NA,NA,NA,NA,NA,NA,1460,1460,118,162,37,9342,348,-85,433,186,165,239,-3,240,29,9,24,79,45,59,53,-0.433347447,2.70006157,-2.690116838,2.833896295
2,NA,GRVI 13,GRVI ID ,NA,band number,NA,Vireo vicinior,Gray Vireo,Utah,San Juan,Abajo Mountains,Abajo Mountains,38.20031,-109.67057,38.20031,-109.67057,NA,6/1/2018,1,6,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,NA,NA,NA,NA,NA,NA,1460,1460,118,162,37,9342,348,-85,433,186,165,239,-3,240,29,9,24,79,45,59,53,-0.433347447,2.70006157,-2.690116838,2.833896295
3,NA,284000312,band number,GRVI 14,GRVI ID ,NA,Vireo vicinior,Gray Vireo,Utah,San Juan,Abajo Mountains,Abajo Mountains,38.20031,-109.67057,38.20031,-109.67057,NA,6/1/2018,1,6,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,NA,NA,NA,NA,NA,NA,1460,1460,118,162,37,9342,348,-85,433,186,165,239,-3,240,29,9,24,79,45,59,53,-0.433347447,2.70006157,-2.690116838,2.833896295
4,NA,284000313,band number,GRVI 16,GRVI ID ,NA,Vireo vicinior,Gray Vireo,Utah,San Juan,Abajo Mountains,Abajo Mountains,38.20031,-109.67057,38.20031,-109.67057,NA,6/1/2018,1,6,2018,NA,whole blood,1,1,0,VIRVIC01,VIRVIC04,NA,NA,2,0,2,1,1,2,VIRVIC01; VIRVIC04,NA,NA,NA,NA,NA,NA,1460,1460,118,162,37,9342,348,-85,433,186,165,239,-3,240,29,9,24,79,45,59,53,-0.433347447,2.70006157,-2.690116838,2.833896295
5,NA,284000315,band number,GRVI 04,GRVI ID ,NA,Vireo vicinior,Gray Vireo,Utah,San Juan,Abajo Mountains,Abajo Mountains,38.20031,-109.67057,38.20031,-109.67057,NA,6/1/2018,1,6,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,NA,NA,NA,NA,NA,NA,1460,1460,118,162,37,9342,348,-85,433,186,165,239,-3,240,29,9,24,79,45,59,53,-0.433347447,2.70006157,-2.690116838,2.833896295
6,NA,284000316,band number,GRVI 17,GRVI ID ,NA,Vireo vicinior,Gray Vireo,Utah,San Juan,Abajo Mountains,Abajo Mountains,38.20031,-109.67057,38.20031,-109.67057,NA,6/2/2018,2,6,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,NA,NA,NA,NA,NA,NA,1460,1460,118,162,37,9342,348,-85,433,186,165,239,-3,240,29,9,24,79,45,59,53,-0.433347447,2.70006157,-2.690116838,2.833896295
7,NA,284000317,band number,GRVI 18,GRVI ID ,NA,Vireo vicinior,Gray Vireo,Utah,San Juan,Abajo Mountains,Abajo Mountains,38.20031,-109.67057,38.20031,-109.67057,NA,6/3/2018,3,6,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,11,11,10000,0.11,0.11,1460,1460,118,162,37,9342,348,-85,433,186,165,239,-3,240,29,9,24,79,45,59,53,-0.433347447,2.70006157,-2.690116838,2.833896295
8,NA,284000318,band number,GRVI 19,GRVI ID ,NA,Vireo vicinior,Gray Vireo,Utah,San Juan,Abajo Mountains,Abajo Mountains,38.20031,-109.67057,38.20031,-109.67057,NA,6/3/2018,3,6,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,NA,NA,NA,NA,NA,NA,1460,1460,118,162,37,9342,348,-85,433,186,165,239,-3,240,29,9,24,79,45,59,53,-0.433347447,2.70006157,-2.690116838,2.833896295
9,NA,284000319,band number,GRVI 20,GRVI ID ,NA,Vireo vicinior,Gray Vireo,Utah,San Juan,Abajo Mountains,Abajo Mountains,38.20031,-109.67057,38.20031,-109.67057,NA,6/4/2018,4,6,2018,NA,whole blood,1,1,0,VIRVIC01,VIRVIC04,NA,NA,2,0,2,1,1,2,VIRVIC01; VIRVIC04,NA,NA,NA,NA,NA,NA,1460,1460,118,162,37,9342,348,-85,433,186,165,239,-3,240,29,9,24,79,45,59,53,-0.433347447,2.70006157,-2.690116838,2.833896295
10,NA,284000320,band number,GRVI 21,GRVI ID ,NA,Vireo vicinior,Gray Vireo,Utah,San Juan,Abajo Mountains,Abajo Mountains,38.20031,-109.67057,38.20031,-109.67057,NA,6/4/2018,4,6,2018,NA,whole blood,1,1,0,VIRVIC01,VIRVIC04,NA,NA,2,0,2,1,1,2,VIRVIC01; VIRVIC04,NA,NA,NA,NA,NA,NA,1460,1460,118,162,37,9342,348,-85,433,186,165,239,-3,240,29,9,24,79,45,59,53,-0.433347447,2.70006157,-2.690116838,2.833896295
